,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
268,Srednekolymsk,98,RU,1575161145,94,67.46,153.71,-19.88,2.73
269,Ostrovnoy,100,RU,1575161145,95,68.05,39.51,18.66,11.23
270,Berezna,13,UA,1575161145,88,51.58,31.79,28.22,9.98
271,Kassala,12,SD,1575161145,69,15.45,36.38,74.1,6.44
272,Puerto Baquerizo Moreno,75,EC,1575161145,83,-0.9,-89.6,75.2,11.41
273,Ola,0,RU,1575161145,78,59.58,151.3,-2.33,13.69
274,Bandarbeyla,100,SO,1575161145,76,9.49,50.81,78.39,29.06
275,Utmanzai,5,PK,1575161145,25,34.19,71.76,48.2,6.93
276,Sao Joao da Barra,100,BR,1575161146,92,-21.64,-41.05,73.9,7.52
277,Port-Gentil,100,GA,1575161146,88,-0.72,8.78,77.34,10.65
278,Bambous Virieux,40,MU,1575161146,73,-20.34,57.76,77.0,13.87
279,Sampit,67,ID,1575161146,89,-2.54,112.95,80.37,0.85
280,Melfort,75,CA,1575161146,84,52.87,-104.61,3.2,3.36
281,Yamada,40,JP,1575161146,47,36.58,137.08,57.2,13.87
282,Kenai,90,US,1575161004,74,60.55,-151.26,37.0,12.75
283,Calabozo,100,VE,1575161146,75,8.92,-67.43,76.96,4.34
284,Esperance,90,AU,1575161146,72,-33.86,121.89,60.8,10.29
285,Kankakee,90,US,1575161146,100,41.12,-87.86,41.0,20.8
286,Banjar,53,ID,1575161148,85,-7.37,108.54,77.43,1.07
287,Clyde River,20,CA,1575161148,85,70.47,-68.59,21.2,21.92
288,Severo-Kurilsk,91,RU,1575161148,84,50.68,156.12,23.79,29.71
289,Powell River,75,CA,1575161148,80,49.84,-124.52,37.4,1.48
290,Karratha,89,AU,1575161116,54,-20.74,116.85,84.34,21.23
291,Broome,8,GB,1575161148,86,52.47,1.45,46.0,1.12
292,Jalu,0,LY,1575161148,54,29.03,21.55,57.51,5.66
293,Owase,0,JP,1575161148,67,34.07,136.2,48.42,1.19
294,Vostok,97,RU,1575161148,92,46.45,135.83,16.72,5.7
295,Alice Springs,0,AU,1575161063,28,-23.7,133.88,71.6,12.75
296,Santiago del Estero,31,AR,1575161149,63,-27.8,-64.26,79.25,10.69
297,Chokurdakh,67,RU,1575161149,100,70.62,147.9,-26.61,2.86
298,Yulara,0,AU,1575160927,30,-25.24,130.99,69.8,9.17
299,Koutsouras,81,GR,1575161149,70,35.03,25.95,62.01,4.0
300,Saint-Augustin,5,CA,1575161149,78,45.63,-73.98,21.0,2.24
301,Norman Wells,75,CA,1575161149,92,65.28,-126.83,19.4,8.05
302,Susurluk,75,TR,1575161149,93,39.91,28.16,55.0,5.82
303,Isoka,88,ZM,1575161149,92,-10.15,32.64,64.47,2.8
304,Nara,20,JP,1575161150,76,34.68,135.8,50.0,5.82
305,Conde,0,BR,1575161003,82,-11.81,-37.61,80.28,16.84
306,Pangkalanbuun,86,ID,1575161150,90,-2.68,111.62,79.21,2.08
307,Husavik,38,CA,1575161150,83,50.56,-96.99,27.0,11.7
308,Kokopo,0,PG,1575161150,73,-4.34,152.27,81.57,3.49
309,North Bend,100,US,1575161150,88,43.41,-124.22,43.0,9.01
310,Valentin Gomez Farias,20,MX,1575161150,35,24.05,-104.7,71.6,10.29
311,Ä°dil,100,TR,1575161150,84,37.34,41.89,49.68,5.97
312,Tabuk,54,PH,1575161150,83,17.41,121.44,71.65,5.95
313,Port Hedland,49,AU,1575161150,13,-20.31,118.58,91.4,23.04
314,Tambacounda,23,SN,1575161150,16,13.77,-13.67,79.83,5.3
315,Ferme-Neuve,0,CA,1575161150,82,46.7,-75.45,14.31,3.53
316,George,80,MW,1575161150,81,-15.35,34.83,73.38,3.22
317,Luderitz,4,NA,1575161150,52,-26.65,15.16,66.2,19.46
318,Kloulklubed,75,PW,1575160956,74,7.04,134.26,84.2,8.05
319,Deputatskiy,100,RU,1575161151,99,69.3,139.9,-14.04,1.72
320,Anloga,17,GH,1575161151,81,5.79,0.9,81.99,9.73
321,Bela Vista de Goias,40,BR,1575161151,83,-16.97,-48.95,73.4,4.7
322,Kathu,0,ZA,1575161151,36,-27.7,23.05,68.0,9.51
323,Hailar,78,CN,1575161151,95,49.2,119.7,1.04,11.41
324,Nyakabindi,71,TZ,1575161151,87,-2.63,33.98,65.61,3.42
325,Chernyshevskiy,100,RU,1575161151,96,63.01,112.47,-15.9,4.47
326,Kavali,100,IN,1575160899,80,14.91,79.99,78.06,9.91
327,Byron Bay,90,AU,1575161102,78,-28.65,153.62,86.0,9.17
328,Isla Vista,90,US,1575161152,100,34.41,-119.86,52.0,19.46
329,Talnakh,10,RU,1575161020,63,69.49,88.39,-9.4,4.47
330,Sikandra Rao,0,IN,1575161152,51,27.69,78.38,60.71,6.29
331,Sao Felix do Xingu,82,BR,1575161152,81,-6.64,-51.99,76.57,0.87
332,Hambantota,100,LK,1575161152,93,6.12,81.12,75.65,13.49
333,Mirabad,0,IR,1575161152,48,28.27,61.33,47.73,3.24
334,Senanga,73,ZM,1575161152,78,-16.1,23.3,71.74,1.25
335,Pisco,0,PE,1575161153,73,-13.71,-76.2,69.8,9.17
336,Banjarmasin,52,ID,1575161153,75,-3.32,114.59,82.83,5.14
337,Chabahar,0,IR,1575161153,62,25.29,60.65,69.03,4.76
338,Kysyl-Syr,100,RU,1575161153,99,63.9,122.77,-6.16,1.74
339,Lahaina,75,US,1575161153,57,20.87,-156.68,84.2,19.46
340,Marsh Harbour,64,BS,1575160965,63,26.54,-77.06,73.26,7.45
341,Iskateley,100,RU,1575161153,93,67.68,53.15,29.55,21.72
342,Viransehir,100,TR,1575161154,66,37.24,39.76,57.38,10.04
343,Salinas,90,US,1575161154,71,36.67,-121.66,52.0,19.46
344,Xinzhi,40,TW,1575161154,78,22.54,120.62,71.6,6.93
345,Gamboma,94,CG,1575161154,90,-1.87,15.88,73.35,2.73
346,Viedma,0,AR,1575161154,53,-40.81,-62.99,52.65,8.7
347,Severo-Yeniseyskiy,100,RU,1575161154,97,60.37,93.04,0.97,4.5
348,Prince George,1,CA,1575161154,78,53.92,-122.75,10.4,2.24
349,Arman,53,RU,1575161154,68,59.7,150.17,10.29,21.85
350,Djambala,100,CG,1575161154,91,-2.55,14.76,69.71,2.06
351,Moose Factory,90,CA,1575161154,79,51.26,-80.61,19.4,5.17
352,Ngunguru,2,NZ,1575161154,66,-35.62,174.5,75.99,3.0
353,Puri,55,ID,1575161154,64,-7.54,112.45,83.08,0.78
354,Laguna,40,BZ,1575161154,88,16.17,-88.94,77.0,4.7
355,Vila Franca do Campo,75,PT,1575161091,88,37.72,-25.43,66.2,5.82
356,Bryan,1,US,1575161155,69,30.67,-96.37,77.0,7.58
357,Lorengau,45,PG,1575161155,63,-2.02,147.27,83.48,2.46
358,Erzincan,75,TR,1575161155,100,39.75,39.49,41.0,2.24
359,La Paz,20,MX,1575161155,60,24.15,-110.32,73.4,11.41
360,Havlickuv Brod,0,CZ,1575161155,92,49.61,15.58,32.0,3.36
361,Coquimbo,42,CL,1575161155,87,-29.95,-71.34,57.2,3.36
362,Chiplun,61,IN,1575161155,66,17.53,73.52,72.12,3.18
363,Lazaro Cardenas,0,MX,1575161155,23,28.39,-105.62,68.16,7.18
364,Parana,15,BR,1575161156,72,-7.52,-72.89,80.24,3.67
365,Vrangel,67,RU,1575161156,61,42.73,133.08,35.4,26.75
366,Luganville,67,VU,1575161156,62,-15.51,167.18,80.74,6.62
367,Moron,13,HT,1575161156,78,18.56,-74.26,77.22,16.51
368,Kalmunai,97,LK,1575161156,83,7.42,81.82,79.23,6.82
369,Hasaki,75,JP,1575161156,70,35.73,140.83,45.0,3.36
370,Nadym,96,RU,1575161156,91,65.53,72.51,14.45,9.53
371,Cap Malheureux,40,MU,1575161156,73,-19.98,57.61,77.0,13.87
372,Kaohsiung,40,TW,1575161143,78,22.62,120.31,71.6,6.93
373,Kralendijk,100,BQ,1575161156,74,12.15,-68.27,80.6,5.82
374,Magadan,0,RU,1575161157,76,59.56,150.8,2.68,16.87
375,Brumunddal,43,NO,1575161157,92,60.89,10.94,18.0,3.76
376,Hamilton,75,CA,1575160984,79,43.26,-79.87,30.99,18.34
377,Gewane,64,ET,1575161157,47,10.16,40.66,74.14,4.85
378,Izhma,100,RU,1575161157,89,65.01,53.91,31.19,13.51
379,Tarazona,20,ES,1575161157,93,41.91,-1.72,50.0,3.94
380,Australind,0,AU,1575161157,26,-33.28,115.72,73.0,12.24
381,Hun,98,BE,1575161157,86,50.34,4.87,35.01,8.05
382,Forestville,75,CA,1575161157,62,48.74,-69.09,19.4,19.46
383,Lata,0,IN,1575161157,22,30.78,78.62,14.97,4.65
384,Telsiai,62,LT,1575161157,85,55.98,22.25,29.84,7.14
385,Westport,1,US,1575161157,37,41.14,-73.36,39.2,4.7
386,Batagay-Alyta,100,RU,1575161157,97,67.8,130.41,-15.86,3.0
387,Victoria,75,BN,1575161158,83,5.28,115.24,82.4,9.22
388,Fare,26,PF,1575161158,78,-16.7,-151.02,82.38,12.37
389,Suhbaatar,97,MN,1575161158,92,50.23,106.21,-2.11,6.15
390,Santa Vitoria do Palmar,92,BR,1575161158,65,-33.52,-53.37,64.33,5.28
391,Wajima,75,JP,1575161158,61,37.4,136.9,50.0,9.17
392,Illapel,17,CL,1575161158,52,-31.63,-71.17,54.77,1.05
393,Saint-Joseph,90,FR,1575161158,81,43.56,6.97,52.0,4.7
394,Ariquemes,30,BR,1575161158,81,-9.91,-63.03,78.1,1.74
395,Santa Maria del Oro,0,MX,1575161158,31,25.95,-105.37,62.82,10.76
396,Verkhnevilyuysk,99,RU,1575161158,96,63.45,120.31,-10.23,6.02
397,Mahalapye,0,BW,1575161158,12,-23.11,26.83,75.43,9.4
398,Cidreira,79,BR,1575161158,78,-30.17,-50.22,74.62,6.2
399,Buala,33,SB,1575161158,70,-8.15,159.59,84.33,5.79
400,Ust-Maya,95,RU,1575161159,98,60.42,134.54,-15.74,1.92
401,Tecoanapa,75,MX,1575161159,74,16.99,-99.26,84.2,5.82
402,Vestmannaeyjar,100,IS,1575161159,78,63.44,-20.27,43.3,4.18
403,Tuatapere,100,NZ,1575161160,91,-46.13,167.69,57.0,5.99
404,Marrakesh,37,MA,1575161160,87,31.63,-7.99,55.4,5.82
405,Uruzgan,0,AF,1575161160,56,32.93,66.63,31.1,3.78
406,Kudahuvadhoo,100,MV,1575161160,77,2.67,72.89,82.02,9.37
407,Nhulunbuy,75,AU,1575161160,58,-12.18,136.78,87.8,9.17
408,Chippewa Falls,90,US,1575160802,100,44.94,-91.39,32.0,14.99
409,Chicama,90,PE,1575161160,82,-7.84,-79.15,68.0,8.05
410,Mersing,94,MY,1575161161,81,2.43,103.84,81.93,11.74
411,Goderich,94,CA,1575161111,83,43.74,-81.71,32.0,16.6
412,Faya,66,SA,1575161161,53,18.39,42.45,50.0,3.96
413,Pimenta Bueno,22,BR,1575161161,83,-11.68,-61.19,76.98,1.72
414,Chimbote,0,PE,1575161161,76,-9.08,-78.59,66.9,3.8
415,Portland,1,US,1575160454,57,43.66,-70.25,24.01,14.99
416,Kandi,1,BJ,1575161161,19,11.13,2.93,74.52,3.71
417,Inongo,37,CD,1575161161,92,-1.93,18.29,72.54,2.57
418,Dubbo,1,AU,1575161161,16,-32.25,148.6,73.4,12.75
419,Beisfjord,90,NO,1575161162,92,68.38,17.6,28.4,35.57
420,Sur,0,OM,1575161162,60,22.57,59.53,68.43,4.21
421,Mtsamboro,9,YT,1575161162,88,-12.7,45.07,80.6,2.24
422,Wawa,48,NG,1575161162,37,9.9,4.41,79.38,3.49
423,Petukhovo,0,RU,1575161162,75,55.06,67.89,10.38,8.48
424,San Ramon,19,NI,1575161162,93,12.92,-85.84,66.18,4.79
425,Richards Bay,100,ZA,1575161162,78,-28.77,32.06,73.22,25.57
426,Durban,99,CA,1575161162,97,51.93,-101.44,11.88,4.16
427,Nenjiang,12,CN,1575161162,94,49.17,125.23,-0.92,1.7
428,Aksu,0,KZ,1575161163,83,52.04,76.93,-5.8,4.47
429,Atar,75,MR,1575161026,19,20.52,-13.05,75.76,4.88
430,Rio Pardo de Minas,0,BR,1575161163,72,-15.62,-42.55,69.37,2.08
431,Yakeshi,97,CN,1575161163,100,49.28,120.73,-9.83,4.81
432,Dunedin,100,NZ,1575161163,70,-45.87,170.5,63.0,11.99
433,Paamiut,100,GL,1575161163,95,61.99,-49.67,36.09,13.6
434,Osa,100,RU,1575161163,94,57.28,55.46,21.33,9.66
435,Seymchan,100,RU,1575161163,93,62.93,152.39,-13.23,8.16
436,Subate,31,LV,1575161163,81,56.01,25.91,29.43,7.92
437,Gaur,0,NP,1575161164,67,26.77,85.27,57.9,0.67
438,Kruisfontein,75,ZA,1575161164,90,-34.0,24.73,54.3,2.68
439,Ketchikan,90,US,1575161164,74,55.34,-131.65,37.4,5.82
440,Codrington,72,AU,1575161164,65,-28.95,153.24,86.0,8.05
441,Verkhoyansk,96,RU,1575161164,89,67.55,133.39,-23.08,0.89
442,Misratah,0,LY,1575161164,69,32.38,15.09,66.42,9.08
443,Sawtell,78,AU,1575161164,83,-30.38,153.1,78.8,9.17
444,Nahariyya,0,IL,1575161164,89,33.01,35.09,62.01,9.17
445,Baruun-Urt,100,MN,1575161164,82,46.68,113.28,4.01,6.26
446,Palizada,40,MX,1575161164,69,18.25,-92.09,82.4,8.05
447,Daru,56,PG,1575161164,57,-9.07,143.21,89.15,5.21
448,Rocha,100,UY,1575161164,74,-34.48,-54.34,56.93,6.35
449,Messini,50,GR,1575161164,93,37.05,22.01,59.0,4.7
450,Damghan,0,IR,1575161164,85,36.17,54.34,40.5,1.92
451,Kununurra,31,AU,1575161164,74,-15.77,128.74,86.0,6.93
452,Gera,0,DE,1575161165,91,50.88,12.08,37.0,2.24
453,Kuryk,76,KZ,1575161165,73,43.18,51.68,52.41,19.89
454,Nichinan,20,JP,1575161165,87,31.65,131.31,59.0,5.82
455,Akdepe,100,TM,1575161165,58,42.05,59.39,32.0,4.7
456,Khandyga,91,RU,1575161165,98,62.65,135.58,-19.68,1.14
457,Langxiang,50,CN,1575161166,85,46.95,128.87,10.83,4.7
458,Chara,40,GR,1575161166,76,39.42,22.43,48.2,3.36
459,Bira,92,RU,1575161166,94,49.0,132.47,7.39,2.57
460,Martapura,69,ID,1575161166,75,-3.41,114.85,82.56,2.59
461,Gidole,69,ET,1575161166,72,5.65,37.37,66.45,2.04
462,Naze,40,NG,1575161166,94,5.43,7.07,78.8,3.67
463,Camacha,40,PT,1575161166,82,33.08,-16.33,68.0,8.05
464,Itoman,20,JP,1575161166,64,26.12,127.67,75.2,11.41
465,Tevriz,34,RU,1575161166,85,57.51,72.4,11.12,5.19
466,Pinega,100,RU,1575161166,91,64.7,43.39,27.05,8.57
467,Kumeny,100,RU,1575161166,92,58.11,49.92,24.48,15.5
468,Bud,100,NO,1575161166,66,62.91,6.91,35.6,19.46
469,Tezu,39,IN,1575161167,50,27.93,96.16,56.48,2.39
470,Kieta,9,PG,1575161167,75,-6.22,155.63,82.71,3.76
471,Wanning,0,AT,1575161167,100,48.64,13.53,30.0,3.36
472,Koshurnikovo,100,RU,1575161167,96,54.3,93.39,7.93,4.9
473,Houma,96,CN,1575161167,51,35.63,111.36,29.41,3.2
474,Oistins,40,BB,1575161167,83,13.07,-59.53,80.6,4.7
475,Caucaia,75,BR,1575161167,78,-3.73,-38.66,86.0,11.41
476,Linkoping,0,SE,1575160979,79,58.41,15.62,26.6,3.36
477,Owando,89,CG,1575161167,95,-0.49,15.91,72.27,2.13
478,Winneba,0,GH,1575161167,83,5.35,-0.62,82.4,5.82
479,Kirakira,0,SB,1575161168,79,-10.46,161.92,81.55,6.85
480,Labuhan,100,ID,1575161168,72,-2.54,115.51,82.08,0.11
481,Ancud,90,CL,1575161168,81,-41.87,-73.83,53.6,4.7
482,Harindanga,20,IN,1575161168,93,22.04,88.32,66.2,5.3
483,Pratapgarh,0,IN,1575161168,50,25.92,82.0,63.86,4.27
484,Zhangjiakou,0,CN,1575161168,66,40.77,114.88,6.1,0.98
485,Bathsheba,40,BB,1575161168,83,13.22,-59.52,80.6,4.7
486,Aykhal,100,RU,1575161169,74,65.95,111.51,-27.4,4.47
487,Koutiala,0,ML,1575161169,16,12.39,-5.46,75.22,7.49
488,Xiazhen,20,TW,1575161169,73,23.89,120.95,71.6,4.7
489,Teahupoo,20,PF,1575160944,66,-17.83,-149.27,87.8,13.87
490,Chilca,40,PE,1575161169,41,-13.22,-72.34,59.0,4.7
491,Tilichiki,98,RU,1575161169,95,60.47,166.1,7.27,3.74
492,Dali,100,CN,1575161169,39,34.79,109.94,35.4,9.04
493,Ouahigouya,0,BF,1575161169,14,13.58,-2.42,77.11,8.81
494,San Esteban,18,HN,1575161170,85,15.21,-85.77,63.77,1.66
495,Champerico,41,MX,1575161170,87,16.38,-93.6,69.94,2.62
496,Praia da Vitoria,40,PT,1575161170,100,38.73,-27.07,66.99,12.37
497,Mandera,41,ET,1575161170,30,3.94,41.86,75.0,1.01
498,Nouadhibou,90,MR,1575161170,100,20.93,-17.03,60.8,6.93
499,Rorvik,100,NO,1575161170,91,64.86,11.24,34.0,4.0
500,Argelia,40,CO,1575161171,100,4.73,-76.12,71.6,3.36
501,Gotsu,75,JP,1575161171,71,35.01,132.22,55.4,12.75
502,Manokwari,100,ID,1575161171,71,-0.87,134.08,79.79,6.06
503,Nova Ushytsya,45,UA,1575161171,83,48.84,27.27,29.14,9.98
504,Nioro,75,GM,1575161171,16,13.79,-15.05,80.82,8.37
505,Christchurch,84,NZ,1575161016,40,-43.53,172.64,78.01,17.22
506,Akhtubinsk,98,RU,1575161171,91,48.29,46.17,45.59,20.18
507,Ust-Ishim,28,RU,1575161171,81,57.69,71.17,11.79,6.8
508,Ugra,69,RU,1575161171,73,54.78,34.32,26.37,8.61
509,Atasu,0,KZ,1575161171,55,48.68,71.64,14.38,8.28
510,Maple Creek,50,CA,1575161171,90,49.91,-109.46,11.75,3.91
511,Inuvik,90,CA,1575161171,85,68.36,-133.71,12.2,5.82
512,Ambilobe,97,MG,1575161173,71,-13.19,49.05,77.81,13.27
513,Metro,20,ID,1575161173,76,-5.11,105.31,81.48,4.74
514,Khani,75,GE,1575161178,93,41.96,42.96,46.4,16.11
515,Santa Isabel,1,MX,1575161178,44,32.63,-115.58,60.8,5.1
516,Aripuana,59,BR,1575161178,74,-9.17,-60.63,80.28,1.43
517,Luau,69,CD,1575161178,96,-10.7,22.23,65.35,1.1
518,Beira,40,ES,1575161178,93,43.2,-8.36,55.0,10.29
519,Rawson,17,AR,1575161178,64,-43.3,-65.11,53.58,3.27
520,Semnan,0,IR,1575161135,78,35.58,53.39,44.06,2.66
521,Rio Gallegos,40,AR,1575161178,59,-51.62,-69.22,53.6,18.34
522,Gushikawa,20,JP,1575161178,64,26.35,127.87,75.2,11.41
523,Curry,93,IE,1575161179,92,54.0,-8.78,42.01,1.01
524,Biharamulo,37,TZ,1575161179,95,-2.64,31.31,63.05,2.17
525,Smolenka,6,PL,1575161179,94,54.15,22.76,28.99,9.33
526,Qaqortoq,100,GL,1575161182,39,60.72,-46.03,48.2,29.97
527,Alyangula,40,AU,1575161182,70,-13.85,136.42,84.2,5.82
528,Valparaiso,90,US,1575160960,93,41.47,-87.06,39.99,20.8
529,Tambun,20,ID,1575161182,78,-6.26,107.07,84.0,5.82
530,San Luis,0,AR,1575161183,22,-33.3,-66.34,73.47,19.6
531,Assomada,75,CV,1575161183,83,15.1,-23.68,73.4,14.99
532,Boca do Acre,40,BR,1575161183,85,-8.76,-67.39,77.49,2.64
533,Samarai,41,PG,1575161134,68,-10.62,150.67,84.63,6.46
534,Sainte-Suzanne,100,CH,1575161183,89,47.51,6.77,39.99,2.24
535,Cape Coast,0,GH,1575161183,79,5.11,-1.24,82.72,10.42
